"cell_line","IC50","AAC","ENSG00000198793","ENSG00000138685","ENSG00000088832"
"FLO-1",0.0138467779952054,0.662953961400046,5.66519572195107,3.41379789848907,4.66880450632401
"FU-OV-1",2866.30875952797,0.158845894045263,5.02524435491179,4.28664117558045,3.70911492780755
"G-361",4.61980617609225,0.204795789753711,5.2499129817662,3.4873067061537,4.13843219047673
"G-401",116.473257381587,0.170285683794346,5.21790240677406,6.22792738385755,4.89224292137771
"GA-10",30.5972600684909,0.355379681541691,5.47515430475871,3.53087330061367,3.86069373564334
"GB-1",16.4574170651543,0.0906874022170393,5.47175549089918,6.51042125013546,3.61424137235373
"GCIY",2.51581325811311,0.19050665434789,4.85346223964974,5.05693214439337,4.65489711221352
"GDM-1",7.79375779902327,0.081513398354699,4.64817690756505,3.16751043545874,3.24826487124874
"GI-1",7.60688506263509,0.271692992646277,5.09663775814258,4.23140214348275,4.09275942769404
"GP5d",11.1021541507603,0.240727668357668,4.75977676446879,3.08986492577613,3.32248520693546
"HAL-01",3.03858659977812,0.311982088383755,5.21164025486064,3.4181641329586,3.20759977969438
"HC-1",0.00642891832592557,0.924636141918624,4.96117066388642,3.53463644883535,3.80403890910869
"HCC1187",17.0947197285409,0.0505612195297501,5.13639998574592,3.54404821813422,3.90080764393069
"HCC1395",12.600727903782,0.263515598462526,5.61835696426919,5.05605851930702,4.60419939184615
"HCC1500",5.96562834547651,0.10160491103396,4.66546742644493,3.31546341100878,3.02974725977701
"HCC1569",3.3513949916321,0.306002513735287,5.44775888261196,6.46577455921368,3.55644623980187
"HCC1599",9.58482011309806,0.106812097672839,3.88579827838616,3.47448809591227,4.46123996052978
"HCC1954",5.64575401392884,0.0825299261324419,5.01634310735823,3.26813121560917,2.79636995421357
"HCC2157",47.6280095396879,0.122288148226207,5.38413435090238,3.4046338994054,3.65517759961287
"HCC2218",11.425521068043,0.0464220427973217,4.66460201849787,3.27349575768841,3.06085185427678
"HCC2998",2.67155752096624,0.00988633436505246,4.73424400110172,3.15821733407913,2.99354965723301
"HCC38",6.71940876970424,0.0640509610498931,4.69507227394097,7.05635734029844,5.68606645794331
"HCC70",4.51950694579262,0.20295453001116,5.68583339043501,3.33697838992152,3.89399048097892
"HCT-15",10706.6093414283,0.259922696881086,4.95652813304683,3.92791501353904,3.44006359443691
"HD-MY-Z",0.0537241327702745,0.258661962167766,5.37986074798139,6.10232098100905,5.78059101548808
"HDLM-2",11.9715002292085,0.125206389884447,4.95111288062559,5.65887919680251,3.24610143862561
"HDQ-P1",16.213447865303,0.288789874480212,4.75893537437395,3.57041895990736,2.96352391498681
"HEC-1",6839.77346830192,0.0655066703645534,5.56308298800567,3.87266747112706,2.98585306754354
"HeLa",2.23278806640097,0.252868853804071,5.21166434222656,5.3541528108878,3.46210728352673
"HL-60",0.00810993011855533,0.346937904127083,4.9586468084821,3.40445899638867,2.8456151221757
"HMV-II",9.48275259891321,0.202298546658181,5.98231281889525,4.17595375415693,4.73677519230777
"HO-1-N-1",5.03657804290333,0.218268308665559,4.68676439516485,3.65687403629839,4.15012906188337
"HOP-62",8.88322531120208,0.0346657273516166,4.96089389641602,4.63103170589449,3.14077568371697
"HOS",0.03458271919527,0.178387725624646,4.61696834948454,5.78635841217538,3.49342276078963
"HPAC",72.7252904428494,0.0599074014021357,5.05000694312734,3.31330739745728,3.09648080297141
"HSC-3",0.871370554457144,0.517434939682561,4.76874783547556,3.58497298335525,3.07916296808768
"HSC-39",0.00914740133575963,0.331097068918417,4.87747968795393,3.26491901268691,3.39500289353761
"HT-1080",24.0686559385435,0.190381555558743,4.64568668725718,4.40324339171489,6.67429259244279
"HT-1197",5.02390829091396,0.235840531712148,4.77565122774962,3.15886605108052,4.66749092023958
"HT-1376",13.7330779807238,0.111394818723002,5.0495264965149,3.16788637470141,3.70431835735737
"HT-29",4566.97179951653,0.15279787760774,4.68842842022079,3.31930461154908,3.09038240560658
"HuO-3N1",7.39401712719644,0.133207665937934,4.47756219390605,4.85631858546696,4.46233999486521
"HuP-T3",4.56887900598704,0.334603818605778,4.87755556726168,6.10185805102559,3.34058395514556
"HuP-T4",9.47762933777932,0.144563237509729,4.72566484710783,3.55830683189979,4.54371283244549
"HuTu-80",6.5749828393432,0.220299890801142,5.32546730405885,5.67881356227435,3.91902650727185
"IGROV-1",0.363286714417445,0.187412611819352,4.95118592140828,3.38783415733153,3.32596095573615
"IMR-5",8.44018314028232,0.174506429085261,4.59352991967527,4.3551746762797,3.52929447600909
"IST-MEL1",6.44417247775533,0.100016204187445,5.23370985789,4.46585773773427,4.49468426623329
"JHH-7",1067.94191165167,0.167142454286288,5.41992951965331,3.62299139704869,4.07978657025823
