PARTICIPANT_A	COUNT
CHEBI:18148	1
CHEBI:18152	2
CHEBI:18183	14
CHEBI:18208	3
CHEBI:18220	2
CHEBI:18225	1
CHEBI:18243	15
CHEBI:18248	14
CHEBI:18250	4
CHEBI:18255	1
CHEBI:18258	3
CHEBI:18280	1
CHEBI:18295	5
CHEBI:18297	1
CHEBI:18300	1
CHEBI:18303	10
CHEBI:18304	3
CHEBI:18305	1
CHEBI:18307	3
CHEBI:18320	10
CHEBI:18329	1
CHEBI:18332	4
CHEBI:18335	2
CHEBI:18344	2
CHEBI:18347	3
CHEBI:18349	1
CHEBI:18357	12
CHEBI:18385	2
CHEBI:18397	2
CHEBI:18405	53
CHEBI:18406	1
CHEBI:189669	2
CHEBI:19475	2
CHEBI:1963	1
CHEBI:2038	1
CHEBI:204734	1
CHEBI:204928	7
CHEBI:20506	11
CHEBI:207229	81
CHEBI:2086	2
CHEBI:21412	2
CHEBI:2150	1
CHEBI:21557	1
CHEBI:22065	6
CHEBI:22450	1
CHEBI:22907	2
CHEBI:22984	20
CHEBI:23357	1
CHEBI:23359	2
CHEBI:2376	4
CHEBI:2379	2
CHEBI:238698	3
CHEBI:23872	1
CHEBI:240107	2
CHEBI:2401	3
CHEBI:24088	1
CHEBI:2423	1
CHEBI:24344	1
CHEBI:247956	3
CHEBI:25107	1
CHEBI:251408	2
CHEBI:251412	16
CHEBI:25194	1
CHEBI:253342	1
CHEBI:25461	1
CHEBI:2549	3
CHEBI:25567	4
CHEBI:2567	5
CHEBI:25681	3
CHEBI:2569	1
CHEBI:258351	1
CHEBI:25879	3
CHEBI:2611	17
CHEBI:2618	5
CHEBI:26216	1
CHEBI:2627	1
CHEBI:2636	2
CHEBI:2639	9
CHEBI:2654	2
CHEBI:2659	4
CHEBI:2663	7
CHEBI:2666	30
CHEBI:2668	19
CHEBI:2673	10
CHEBI:267413	4
CHEBI:2674	1
CHEBI:2675	44
CHEBI:2686	3
CHEBI:2687	4
CHEBI:26987	1
CHEBI:2704	1
CHEBI:27086	2
CHEBI:27091	1
CHEBI:27140	5
CHEBI:27300	2
CHEBI:273574	1
CHEBI:27375	6
CHEBI:2739	3
CHEBI:27404	1
CHEBI:27432	10
CHEBI:27436	2
CHEBI:27446	1
CHEBI:27470	3
CHEBI:27478	1
CHEBI:27539	1
CHEBI:27540	1
CHEBI:27565	4
CHEBI:27575	5
CHEBI:27584	2
CHEBI:27609	1
CHEBI:27647	1
CHEBI:27656	1
CHEBI:27662	6
CHEBI:27666	2
CHEBI:27690	8
CHEBI:27704	5
CHEBI:27732	32
CHEBI:27744	1
CHEBI:27747	1
CHEBI:27754	1
CHEBI:27777	1
CHEBI:27779	1
CHEBI:27786	8
CHEBI:27808	4
CHEBI:27810	1
CHEBI:27849	2
CHEBI:2788	3
CHEBI:27899	4
CHEBI:27902	2
CHEBI:2791	10
CHEBI:27931	1
CHEBI:27953	3
CHEBI:27958	10
CHEBI:27960	2
CHEBI:27971	2
CHEBI:27974	3
CHEBI:27999	2
CHEBI:28013	1
CHEBI:28052	1
CHEBI:28062	1
CHEBI:28073	1
CHEBI:28077	7
CHEBI:28078	1
CHEBI:28088	13
CHEBI:28121	1
CHEBI:28125	6
CHEBI:28148	1
CHEBI:2814	2
CHEBI:28172	1
CHEBI:28177	14
CHEBI:28195	3
CHEBI:28230	4
CHEBI:28241	2
CHEBI:28304	13
CHEBI:28315	1
CHEBI:28335	1
CHEBI:28364	11
CHEBI:28421	1
CHEBI:28445	2
CHEBI:28462	1
CHEBI:28475	1
CHEBI:28483	1
CHEBI:28487	3
CHEBI:28494	1
CHEBI:28499	1
CHEBI:28502	6
CHEBI:28507	1
CHEBI:28518	1
CHEBI:28527	2
CHEBI:28544	1
CHEBI:28568	1
CHEBI:28572	1
CHEBI:28584	1
CHEBI:28591	1
CHEBI:28592	3
CHEBI:28593	7
CHEBI:28600	2
CHEBI:28666	2
CHEBI:28669	2
CHEBI:28674	1
CHEBI:28680	1
CHEBI:28689	33
CHEBI:28694	151
CHEBI:28748	2
CHEBI:28757	1
CHEBI:28775	1
CHEBI:2877	3
CHEBI:28783	1
CHEBI:28787	1
CHEBI:28790	5
CHEBI:28794	1
CHEBI:28797	2
CHEBI:28803	1
CHEBI:28812	1
CHEBI:28814	3
CHEBI:28821	1
CHEBI:28831	1
CHEBI:28833	1
CHEBI:28834	4
CHEBI:28837	1
CHEBI:28839	1
CHEBI:28842	2
CHEBI:28850	1
CHEBI:28862	1
CHEBI:28865	3
CHEBI:28869	13
CHEBI:28874	1
CHEBI:28875	21
CHEBI:28878	1
CHEBI:28895	1
CHEBI:28898	3
CHEBI:28918	8
CHEBI:28934	19
CHEBI:28939	10
CHEBI:28940	1
CHEBI:28946	3
CHEBI:28955	5
CHEBI:28969	3
CHEBI:2896	4
CHEBI:28971	3
CHEBI:28972	1
CHEBI:28984	4
CHEBI:29007	4
CHEBI:29034	1
CHEBI:29035	5
CHEBI:29042	1
CHEBI:2904	2
CHEBI:29063	3
CHEBI:29069	9
CHEBI:29073	23
CHEBI:29081	3
CHEBI:291342	1
CHEBI:2915	1
CHEBI:291902	1
CHEBI:2922	2
CHEBI:2930	3
CHEBI:29377	4
CHEBI:2946	1
CHEBI:2948	2
CHEBI:2950	1
CHEBI:2955	1
CHEBI:29579	12
CHEBI:2972	2
CHEBI:29746	1
CHEBI:29805	1
CHEBI:29806	2
CHEBI:3002	1
CHEBI:30111	6
CHEBI:30114	1
CHEBI:3011	1
CHEBI:3013	5
CHEBI:30154	4
CHEBI:30185	126
CHEBI:3023	2
CHEBI:30270	1
CHEBI:3032	1
CHEBI:3044	4
CHEBI:3047	6
CHEBI:3048	5
CHEBI:30563	1
CHEBI:30618	1
CHEBI:3061	10
CHEBI:30621	10
CHEBI:30659	3
CHEBI:30703	1
CHEBI:3070	1
CHEBI:30746	5
CHEBI:30751	12
CHEBI:30754	2
CHEBI:30768	1
CHEBI:30769	23
CHEBI:30772	1
CHEBI:3077	1
CHEBI:30794	2
CHEBI:30796	2
CHEBI:30805	12
CHEBI:30813	3
CHEBI:3082	2
CHEBI:30830	2
CHEBI:30842	1
CHEBI:3084	4
CHEBI:30851	1
CHEBI:30887	3
CHEBI:3090	1
CHEBI:309594	1
CHEBI:3112	2
CHEBI:31159	2
CHEBI:31162	2
CHEBI:31174	7
CHEBI:31183	1
CHEBI:31186	3
CHEBI:31189	2
CHEBI:31197	4
CHEBI:31199	2
CHEBI:31205	4
CHEBI:31225	2
CHEBI:31232	10
CHEBI:31236	25
CHEBI:31247	1
CHEBI:31252	10
CHEBI:31257	2
CHEBI:31263	1
CHEBI:3127	2
CHEBI:31286	1
CHEBI:31296	3
CHEBI:31302	19
CHEBI:31317	4
CHEBI:31324	2
CHEBI:3133	1
CHEBI:31348	1
CHEBI:31357	1
CHEBI:313639	3
CHEBI:31397	1
CHEBI:31399	9
CHEBI:31401	1
CHEBI:31403	16
CHEBI:31412	3
CHEBI:31413	16
CHEBI:31414	1
CHEBI:31425	16
CHEBI:31441	4
CHEBI:31448	5
CHEBI:31468	1
CHEBI:31485	1
CHEBI:31502	2
CHEBI:31515	2
CHEBI:31524	10
CHEBI:31527	1
CHEBI:31529	2
CHEBI:31547	1
CHEBI:31550	12
CHEBI:31561	10
CHEBI:31580	2
CHEBI:31583	5
CHEBI:31596	1
CHEBI:31597	1
CHEBI:31607	14
CHEBI:31608	14
CHEBI:3160	2
CHEBI:31611	2
CHEBI:31618	16
CHEBI:31620	1
CHEBI:31622	9
CHEBI:31623	6
CHEBI:31624	1
CHEBI:31625	1
CHEBI:31632	2
CHEBI:31638	1
CHEBI:31652	1
CHEBI:31654	2
CHEBI:31660	2
CHEBI:31663	1
CHEBI:31669	4
CHEBI:31674	4
CHEBI:31675	4
CHEBI:31684	5
CHEBI:31699	2
CHEBI:3172	1
CHEBI:3175	3
CHEBI:3176	5
CHEBI:31783	2
CHEBI:31784	1
CHEBI:31793	7
CHEBI:31797	1
CHEBI:31810	1
CHEBI:3181	18
CHEBI:31821	1
CHEBI:31827	20
CHEBI:31837	16
CHEBI:3183	6
CHEBI:31859	2
CHEBI:31897	2
CHEBI:31902	1
CHEBI:31905	1
CHEBI:31911	6
CHEBI:31947	1
CHEBI:31974	1
CHEBI:31981	4
CHEBI:32015	1
CHEBI:32016	1
CHEBI:32020	1
CHEBI:32024	8
CHEBI:32029	1
CHEBI:32036	1
CHEBI:3205	2
CHEBI:32061	1
CHEBI:3207	1
CHEBI:32087	1
CHEBI:32111	1
CHEBI:32123	2
CHEBI:32126	1
CHEBI:3213	5
CHEBI:32149	2
CHEBI:32168	4
CHEBI:3216	4
CHEBI:32171	1
CHEBI:32181	2
CHEBI:32184	4
CHEBI:32188	2
CHEBI:32192	2
CHEBI:32195	2
CHEBI:3219	4
CHEBI:32221	2
CHEBI:32223	1
CHEBI:32234	1
CHEBI:3223	2
CHEBI:32241	4
CHEBI:32243	2
CHEBI:32246	2
CHEBI:32254	21
CHEBI:32260	4
CHEBI:32269	1
CHEBI:32270	1
CHEBI:3228	20
CHEBI:32300	1
CHEBI:32315	5
CHEBI:32316	8
CHEBI:3231	24
CHEBI:32321	10
CHEBI:32374	1
CHEBI:3238	1
CHEBI:3242	3
CHEBI:32499	2
CHEBI:32588	6
CHEBI:3258	3
CHEBI:32599	6
CHEBI:32816	14
CHEBI:3286	20
CHEBI:32888	10
CHEBI:32902	1
CHEBI:32918	1
CHEBI:3306	1
CHEBI:33070	4
CHEBI:3312	1
CHEBI:33214	1
CHEBI:33216	1
CHEBI:3347	1
CHEBI:3353	2
CHEBI:3354	1
CHEBI:337298	1
CHEBI:3374	2
CHEBI:3380	5
CHEBI:338412	13
CHEBI:3385	6
CHEBI:3387	4
CHEBI:3398	1
CHEBI:3404	1
CHEBI:3405	1
CHEBI:34154	1
CHEBI:3419	5
CHEBI:34208	1
CHEBI:3423	1
CHEBI:34283	4
CHEBI:34292	1
CHEBI:3437	2
CHEBI:34380	1
CHEBI:34385	16
CHEBI:3441	17
CHEBI:34496	1
CHEBI:3452	1
CHEBI:34543	3
CHEBI:34545	3
CHEBI:34584	1
CHEBI:34593	3
CHEBI:34605	1
CHEBI:34665	1
CHEBI:34671	1
CHEBI:34690	2
CHEBI:34706	30
CHEBI:34718	2
CHEBI:34727	1
CHEBI:34736	1
CHEBI:347401	3
CHEBI:34741	2
CHEBI:34745	10
CHEBI:34762	14
CHEBI:34791	2
CHEBI:34829	1
CHEBI:34838	1
CHEBI:34848	1
CHEBI:34849	1
CHEBI:3485	1
CHEBI:34888	6
CHEBI:34892	1
CHEBI:34895	3
CHEBI:34911	3
CHEBI:34914	5
CHEBI:34918	2
CHEBI:34945	1
CHEBI:34967	2
CHEBI:34992	4
CHEBI:35056	2
CHEBI:35064	2
CHEBI:35092	1
CHEBI:351346	46
CHEBI:35434	1
CHEBI:35553	3
CHEBI:35560	1
CHEBI:3558	1
CHEBI:3561	1
CHEBI:35677	2
CHEBI:3568	2
CHEBI:35859	1
CHEBI:35940	1
CHEBI:36076	1
CHEBI:3611	16
CHEBI:3619	1
CHEBI:36219	3
CHEBI:3636	5
CHEBI:36373	1
CHEBI:36386	2
CHEBI:3638	3
CHEBI:3640	3
CHEBI:3641	1
CHEBI:364453	2
CHEBI:3647	26
CHEBI:3650	1
CHEBI:3654	2
CHEBI:3655	1
CHEBI:3668	8
CHEBI:36704	2
CHEBI:36706	2
CHEBI:36773	4
CHEBI:36791	6
CHEBI:36795	3
CHEBI:36803	16
CHEBI:3697	1
CHEBI:3698	1
CHEBI:3699	1
CHEBI:37050	1
CHEBI:3720	4
CHEBI:3723	2
CHEBI:3732	3
CHEBI:3738	1
CHEBI:37397	4
CHEBI:3743	1
CHEBI:37495	1
CHEBI:3749	1
CHEBI:3750	1
CHEBI:37510	3
CHEBI:3752	2
CHEBI:37537	4
CHEBI:37548	1
CHEBI:3756	18
CHEBI:3761	17
CHEBI:3763	1
CHEBI:3764	3
CHEBI:3766	27
CHEBI:3777	6
CHEBI:37788	3
CHEBI:37845	2
CHEBI:37931	1
CHEBI:37937	7
CHEBI:37941	1
CHEBI:379896	4
CHEBI:385425	1
CHEBI:38545	1
CHEBI:38635	1
CHEBI:38666	1
CHEBI:38927	1
CHEBI:3892	2
CHEBI:38940	8
CHEBI:3897	1
CHEBI:3901	1
CHEBI:39066	1
CHEBI:39098	1
CHEBI:39112	10
CHEBI:39118	12
CHEBI:39168	1
CHEBI:39176	1
CHEBI:391960	5
CHEBI:39408	13
CHEBI:39462	4
CHEBI:39484	1
CHEBI:39485	1
CHEBI:39505	1
CHEBI:39548	3
CHEBI:39567	1
CHEBI:39576	1
CHEBI:39585	1
CHEBI:39589	1
CHEBI:39610	2
CHEBI:3962	5
CHEBI:39634	1
CHEBI:39637	1
CHEBI:39654	1
CHEBI:39669	2
CHEBI:39686	3
CHEBI:39688	1
CHEBI:39708	1
CHEBI:39727	1
CHEBI:39742	1
CHEBI:39745	1
CHEBI:39785	1
CHEBI:39831	1
CHEBI:39836	1
CHEBI:39867	22
CHEBI:3988	2
CHEBI:39893	1
CHEBI:39902	1
CHEBI:39922	2
CHEBI:39949	1
CHEBI:3994	2
CHEBI:39951	1
CHEBI:39955	1
CHEBI:39959	1
CHEBI:39968	1
CHEBI:3996	1
CHEBI:39980	1
CHEBI:40035	3
CHEBI:40044	1
CHEBI:40071	1
CHEBI:40074	1
CHEBI:40082	1
CHEBI:40083	1
CHEBI:40086	1
CHEBI:40108	2
CHEBI:40117	1
CHEBI:40118	1
CHEBI:40125	1
CHEBI:40128	2
CHEBI:40133	2
CHEBI:40138	1
CHEBI:40153	2
CHEBI:40154	1
CHEBI:40167	3
CHEBI:40199	1
CHEBI:40237	1
CHEBI:4024	1
CHEBI:40255	2
CHEBI:40262	1
CHEBI:40279	1
CHEBI:4027	1
CHEBI:40287	2
CHEBI:40290	1
CHEBI:40297	1
CHEBI:40300	1
CHEBI:40303	3
CHEBI:4031	4
CHEBI:40326	1
CHEBI:40332	1
CHEBI:40413	1
CHEBI:40421	1
CHEBI:40432	1
CHEBI:40444	1
CHEBI:4046	7
CHEBI:40477	1
CHEBI:40520	1
CHEBI:40532	5
CHEBI:40538	2
CHEBI:40547	1
CHEBI:4055	5
CHEBI:40618	3
CHEBI:40677	1
CHEBI:40697	1
CHEBI:40701	1
CHEBI:40710	1
CHEBI:40719	1
CHEBI:40813	2
CHEBI:408174	1
CHEBI:40823	1
CHEBI:40889	1
CHEBI:40909	10
CHEBI:40933	1
CHEBI:40940	2
CHEBI:40947	1
CHEBI:40953	1
CHEBI:40968	1
CHEBI:40992	1
CHEBI:41033	10
CHEBI:41037	1
CHEBI:41055	1
CHEBI:41059	1
CHEBI:41060	1
CHEBI:41089	1
CHEBI:41094	1
CHEBI:41117	1
CHEBI:41135	1
CHEBI:41183	3
CHEBI:41189	3
CHEBI:41198	1
CHEBI:41218	5
CHEBI:41241	2
CHEBI:41263	2
CHEBI:41268	1
CHEBI:41285	1
CHEBI:41308	2
CHEBI:41321	1
CHEBI:41323	3
CHEBI:41378	1
CHEBI:41401	1
CHEBI:41423	7
CHEBI:41462	1
CHEBI:41480	1
CHEBI:41539	1
CHEBI:41545	1
CHEBI:41593	1
CHEBI:41607	1
CHEBI:41611	1
CHEBI:41617	1
CHEBI:41630	2
CHEBI:41656	2
CHEBI:41670	1
CHEBI:41710	5
CHEBI:41733	1
CHEBI:41766	1
CHEBI:41774	16
CHEBI:41791	1
CHEBI:41804	1
CHEBI:41814	1
CHEBI:41865	3
CHEBI:41872	3
CHEBI:41879	5
CHEBI:41883	1
CHEBI:41899	2
CHEBI:41911	5
CHEBI:41917	1
CHEBI:41922	9
CHEBI:41928	1
CHEBI:41931	1
CHEBI:41934	4
CHEBI:41948	1
CHEBI:41962	1
CHEBI:41965	1
CHEBI:41967	1
CHEBI:41977	2
CHEBI:42007	1
